January,1,1983,ARPANET starts to talk like the Internet,"The ARPANET will become the internet, but on this day, it begins to use TCP/IP (aka the Internet Protocol). Effectively preparing the fifteen year old network to communicate like the Internet does to this day."
January,1,1992,Grace Hopper dies at age 85,Rear Admiral Grace Hopper started her work on computers while serving in the military during World War II. One of her guiding principles was to make the computer easier to use by programmers as well as end users.
January,1,1970,The Unix system clocks starts at 0:00,"All system-generated timestamps are effectively based on the time elapsed since midnight on January 1, 1970. It is possible to represent time before 1970, but only as far back as  December 13, 1901. Additionally, timestamps can go forward only as far as January 19, 2038. Beyond this, alternate forms for storing dates must be used (or the standard will need to be modified.)"
January,2,1920,Isaac Asimov is born,"This successful author of both science and science fiction published the '3 laws of Robotics' -<1>- A robot may not injure a human being or, through inaction, allow a human being to come to harm. -<2>- A robot must obey any orders given to it by human beings, except where such orders would conflict with the First Law. -<3>- A robot must protect its own existence as long as such protection does not conflict with the First or Second Law."
January,3,1977,Apple Computer is incorporated,"The founders, Steve Jobs, Steve Wozniack and Ronald Wayne founded Apple Computer the year before. On this day they formalized the corporation that has gone on to set high expectations of design and usability in not just the personal computer market, but also to other personal technology."
January,4,1962,The first 'unmanned' subway is introduced in New York City,This was the beginning of a six month trial that would have started the month before except the subway drivers threatened to strike. The strike was avoided by having a driver on board during the trial runs.
January,5,1972,President Nixon announces NASA's plans for the Space Shuttle,"Richard Nixon announces in a statement that in order to allow our scientists to continue to do the important work in space, a new Space Shuttle program is going to be started. This program will feature a re-usable craft that can greatly reduce the costs of new flights and minimize the necessary training needed to be aboard the craft."
January,6,1995,Microsoft Bob is announced,"Microsoft Bob was intended to be a user-friendly interface for using the computer. It was a massive failure with the public. At one point, the project was being directly managed by Melinda French, Bill Gate's girlfriend, and now wife. At the time the project was released, Ms. French was in charge of several products that included the ill-fated Bob."
January,7,1992,AT&T releases a 'video telephone',"While there were booths that could transmit video as early as 1964, this is AT&T's first consumer model. While MCI had one for sale about the same time, it was half of the $1499.00 that AT&T was asking."
January,7,2002,Apple Computer releases the 'Safari' Web Browser,"Until this release, Mac users had several options for getting on the Internet, Internet Explorer, Opera, Netscape and Mozilla. This was the first browser released by Apple."
January,8,1889,Herman Hollerith received a patent for his entry to a competition for calculating for the 1890 census.,"This was in response to a competition announced by the Census Bureau to produce the equipment to process the 1890 Census data. The contestants were given 1880 Census data from four areas of St. Louis Missouri and the fastest processor would win the contract. The times of the three contestants for the first round was 144.5, 100.5 and 72.5 hours with Hollerith the winner. The second round had results of 44.5, 55.5 and 5.5 hours with Hollerith winning the competition. His company would go on to be one of the companies that merged to form IBM in 1911."
January,8,1991,Apple chairman John Scully coins the term 'Personal Digital Assistant',"At the Winter Consumer Electronic Show, Sculley describes a Personal Digital Assistant' as  a handheld computer that uses a stylus for input on an LCD screen. Further, he announces that Apple will enter the PDA market by the end of the year, signaling the coming of the Apple Newton."
January,9,2007,The Apple iPhone is announced,"At the MacWorld Expo, Steve Jobs announced the iPhone, an internet-enabled phone, building on previous success of the iPod."
January,10,1927,The movie 'Metropolis' is release in Germany,"This silent movie stunned all audiences that saw it. The special effects and cityscapes showed a great deal of artistic and technical knowledge and ability. Additionally, this is one of the earliest appearances of a robot in movies, though the term robot was coined at least six years earlier."
January,10,2008,The SimCity source code was released,"Sim City was an early PC game that was very popular.  It involved running the daily affairs of a city (including taxes, zoning, public services, etc.) and watching what happens over time if the needs of the people are (or are not) met.  With the release of the source code, the application has been ported to additional operating systems and is able to be expanded by anyone inclined to do so."
January,11,1934,C.A.R. Hoare is born,Hoare was one of the early scientists that put the 'science' in Computer Science. His work included studying the logic of computer programs including 'Hoare Logic' used to prove program correctness. He also created 'Quicksort' in 1960.
January,12,1937,A plow for laying submarine cable is patented,"As early as 1858, there were transatlantic cables used for telegraph lines, by 1940, there were transatlantic phone lines. Eventually, these lines would carry data and be supplemented by not only other types of wired connections, but wireless technologies as well."
January,13,1874,A patent for the Spalding Adding Machine is issued,Mechanical adders such as this were used heavily until electro-mechanical versions were briefly used and ultimately replaced by computers starting in the 1960s.
January,14,1978,Kurt Godel Dies,"Godel was a logician and mathematician that contributed some theories regarding recursive algorithms. Probably his most famous contribution was regarding the trade-off between completeness and consistency for some computable system. If the system was to be consistent, it was necessarily incomplete, meaning that some of it's axioms cannot be proven within itself and must be assumed to be true."
January,15,1968,First US patent application filed for a video game,"The system was simply called 'Brown Box' as that was exactly what it looked like. Within five years, the rights will be purchased and the Magnavox Odyssey would be the product."
January,15,1990,The entire AT&T phone network went down for nine hours,"A single line of buggy code added during a software upgrade to speed up the network caused a ripple effect that brought down the whole system. It started when one system went down. When it came back up, it sent a signal to the other processing centers, which brought them down as well."
January,15,2001,Wikipedia is started,"Jimmy Wales and Larry Sanger started this as an English language project. Since then, it has taken on dozens of languages and untold revisions of millions of articles for this 'Free Encyclopedia'."
January,16,1997,Clippy is born,"While the first Microsoft Office suite was shipped some seven years earlier, Office 97 included such favorites as Grammar Checker and Clippy, the Office Assistant."
January,17,1969,IBM is charged with being a monopoly,"The US Attorney General, Ramsey Clark, brings IBM up on charges of being a monopoly in the computer industry and seeks to break up the company. IBM successfully fights these charges and the government drops their case some thirteen years later."
January,18,1995,yahoo.com was registered,"Two years earlier, Stanford PhD students, David Filo and Jerry Yang,  track their favorite sites found on the internet. Over time, they spend more and more time on this project as more and more people found it useful. They eventually thought that a business could be made from this and they started Yahoo!"
January,19,2000,Transmeta launch their new 'Crusoe' chips,"The 'Crusoe' was intended to be a clone of the x86 chips that were standard in most PCs that was low-powered and had a side benefit of being theoretically able to run code intended for any processor type. Linus Torvalds, the originator of Linux worked for them for a period. But over time, these chips did not live up to expectations and the company ceased operations in 2009."
January,19,1986,The first PC virus is reported,"This virus, called The Brain, infected the boot sector of 360 kb disks, common at the time."
January,20,1970,The 'Super Fight' film was released,"This film was the result of a settlement between Muhammed Ali and the producers of a 1968 series of radio broadcasts of boxing matches where Ali was reported as losing out to a dead man, Jim Jeffries. Jim Jeffries had been a boxing champion in the early 1900s and had died fifteen years earlier. These boxing matches were scripted by a computer, taking in various statistics about the abilities of the 'best boxers of all time'. The scripts were read by announcers as if the match was actually happening. Ali sued the producers and the final settlement had Ali fight the winner of the radio broadcasts, Rocky Marciano. The film consisted of clips of Ali and Marciano sparing and cut to match the computer simulation produced."
January,20,1999,South Park airs an episode with the characters using the internet,"By this time, the internet is six years old and forty percent of US households are using the internet, though not all from home. "
January,21,1888,Babbage's mechanical Analytical Engine passes  an initial test of it's design,"Nearly a half-century before electronic computers are built, Charles Babbage designed a somewhat programmable mechanical computer. On this day, a portion of that design was constructed and shown to work as expected. In 2009 a working version of the full design was completed."
January,22,1984,The Apple Mac is introduced,"During the Super Bowl, the ad showing a lone woman standing up to an opressor by throwing a hammer at what appears to be a large television is shown. "
January,23,1996,The Java 1.0 development kit is released,"Sun Microsystems envisioned a programming language that would not suffer from incompatibilities when the programs were moved to different computers, or even different operating systems. The motto 'Write once, run anywhere' was a desirable trait for software that could run on Windows, Unix, Linux, MacOS and other lesser-known platforms. "
January,24,1955,Steve Jobs is born,"Steve starts Apple with Steve Wozniac and Ronald Wayne and is eventually pushed out by the board of directors. He goes off an starts a competing company NeXT and eventually is brought back to Apple to bring out the iPod, iPhone, iPad, iMac and many other 'insanely great' innovations."
January,24,1980,Usenet is born,"This is the first 'chat' system. Instead of private chat between two people, it takes more of a 'party line' approach, where anyone can post and read messages. The system only had a couple messages a day in 1980, by 2010, the daily volume reached over 5400 Gb (or 5,400,000 Mb) of traffic a day!"
January,25,1979,First death caused by a robot,"Robert Williams is hit by a robotic arm in a plant in Flat Rock Michigan. Not much more is known about the incident. However, a few years later, a robotic arm pushed someone else into a grinding machine for a more gruesome death."
January,26,1983,Lotus 1-2-3 is introduced,"While not the first spreadsheet program, it was the first popular spreadsheet program. Many businesses used it to track data typically done by hand."
January,26,1959,The US military's first SAGE division becomes operational,"The SAGE system was an extremely advanced computer system for tracking and intercepting enemy aircraft. Of it's technological features were the use of a 'light gun' as a pointing device. (The computer mouse would not be introduced for another ten years) An oscilloscope screen was used to plot icons of aircraft based on multiple radar sites connected remotely. Computer screens would not be used regularly for several more years, especially for plotting images."
January,27,1994,Jim Clark starts up a company that will become Netscape,"Mosaic was one of the first widely-used web browsers. Originally developed by the National Center for Supercomputing Applications and Silicon Graphics Incorporated (NCSA and SGI), it was quickly commercialized by members of the teams that produced it. Mosaic Communcations became Netscape, another popular brand of web browser. Eventually, Netscape was bought by AOL."
January,28,1952,Bank of America signs a contract to automate their check processing,"The contract was with SRI following a previous feasibility study that concluded a system was possible. This first contract was only for a handful of branches. In 1959, the first 'production' version was installed and by 1966, nearly 900 branches were using this system, processing about 750 million checks a year."
January,29,1988,Tetris is released in the US for PCs and the Commodore 64,"The UK firm, Andromeda, and it's US subsidiary, Spectrum Holobyte, have released the software, even though they won't actually own the rights until May of the same year. The original Russian programmer finds out that the owner of Andromeda has been selling rights for console and handheld versions of Tetris, even though those rights weren't his to sell. Many companies ultimately get involved in producing versions, Tengen, Mirrorvision, Atari, Nintendo and more. The lawsuits are ultimately settled by 1993."
January,30,1925,The father of 'The Mother of All Demos' is born,"Douglas Englebart gave a presentation in 1968 that was called 'The Mother of all Demos'. During this 45 minute talk, he introduced the computer mouse to the public for the first time, showed how his team used networking to mix videoconferencing and desktop collaboration together, rudimentary computer graphics and much more in a system that had been under development for many years. His goal was to show that computers could be a valuable part of many lines of work, but only if the interface was intuitive and useful. This demo is available online and is a must-see."
January,31,1995,AT&T announces plans to secure cellphone conversations,AT&T contract with VLSI to develop strategies for securing cell phone communications by installing security chips inside phones.
February,1,1975,Microsoft gets it's first customer,"Bill Gates and Paul Allen sell their newly-completed Altair BASIC to MITS. At this point, Microsoft is based in Albuquerque New Mexico with their first client and this version of BASIC is the first programming language available for a personal computer."
February,2,2008,Microsoft attempts a hostile takeover of Yahoo!,"In an attempt to start with an established product and other intellectual properties related to online advertising, Microsoft offers to buy Yahoo! shares at a premium over the current value. Eventually, Yahoo! successfully fought off this takeover."
February,3,1976,Bill Gates accuses many computer enthusiasts of piracy,"Being a programmer, Bill Gates was concerned that the work that goes into writing and producing a software program wasn't being honored when commercial software was copied and passed around. In an open letter to those that share commercial software with others, he accused them of piracy. This piracy, he argued, was a barrier to better software. "
February,4,2004,Facebook is born,"A student at Harvard, Mark Zuckerberg opened a social networking site to just fellow students. But that limitation was soon expanded to other Ivy League schools and ultimately to anyone."
February,4,2000,The Sims' for PC is released,"This is the first in a series of Sims programs where players can explore interactions between people.  Many sequels were produced and a film has been proposed, but no release date has been set."
February,5,1996,Netscape 2.0 is released,"While it may seem odd now, it wasn't free. It was sold for $49. It was available for Windows 3.1, Windows 95, Windows NT and Mac OS. "
February,6,1998,The v.90 modem standard is finalized,"Arguably the last major version of modem standards for connecting to the internet (or other networks) by phone line. Modem usage has declined in favor of DSL, Cable and even cellphone-based 3G, 3.5G, 4G connectivity."
